"Quarter"	"LAName"	"LACode"	"variable"	"value"
2015 Q1	"Renfrewshire"	"S12000038"	"Other ULEVs"	2
2015 Q1	"Scottish Borders"	"S12000026"	"Other ULEVs"	4
2015 Q1	"Shetland Islands"	"S12000027"	"Other ULEVs"	0
2015 Q1	"South Ayrshire"	"S12000028"	"Other ULEVs"	2
2015 Q1	"South Lanarkshire"	"S12000029"	"Other ULEVs"	2
2015 Q1	"Stirling"	"S12000030"	"Other ULEVs"	3
2015 Q1	"West Dunbartonshire"	"S12000039"	"Other ULEVs"	0
2015 Q1	"West Lothian"	"S12000040"	"Other ULEVs"	3
2021 Q2	"Aberdeen City"	"S12000033"	"Total ULEVs"	963
2021 Q2	"Aberdeenshire"	"S12000034"	"Total ULEVs"	1462
2021 Q2	"Angus"	"S12000041"	"Total ULEVs"	567
2021 Q2	"Argyll and Bute"	"S12000035"	"Total ULEVs"	391
2021 Q2	"City of Edinburgh"	"S12000036"	"Total ULEVs"	2838
2021 Q2	"Clackmannanshire"	"S12000005"	"Total ULEVs"	168
2021 Q2	"Dumfries and Galloway"	"S12000006"	"Total ULEVs"	494
2021 Q2	"Dundee City"	"S12000042"	"Total ULEVs"	736
2021 Q2	"East Ayrshire"	"S12000008"	"Total ULEVs"	399
2021 Q2	"East Dunbartonshire"	"S12000045"	"Total ULEVs"	587
2021 Q2	"East Lothian"	"S12000010"	"Total ULEVs"	657
2021 Q2	"East Renfrewshire"	"S12000011"	"Total ULEVs"	658
2021 Q2	"Falkirk"	"S12000014"	"Total ULEVs"	584
2021 Q2	"Fife"	"S12000047"	"Total ULEVs"	1526
2021 Q2	"Glasgow City"	"S12000049"	"Total ULEVs"	2169
2021 Q2	"Highland"	"S12000017"	"Total ULEVs"	1006
2021 Q2	"Inverclyde"	"S12000018"	"Total ULEVs"	226
2021 Q2	"Midlothian"	"S12000019"	"Total ULEVs"	491
2021 Q2	"Moray"	"S12000020"	"Total ULEVs"	344
2021 Q2	"Na h-Eileanan Siar"	"S12000013"	"Total ULEVs"	79
2021 Q2	"North Ayrshire"	"S12000021"	"Total ULEVs"	352
2021 Q2	"North Lanarkshire"	"S12000050"	"Total ULEVs"	872
2021 Q2	"Orkney Islands"	"S12000023"	"Total ULEVs"	334
2021 Q2	"Perth and Kinross"	"S12000048"	"Total ULEVs"	936
2021 Q2	"Renfrewshire"	"S12000038"	"Total ULEVs"	8799
2021 Q2	"Scottish Borders"	"S12000026"	"Total ULEVs"	612
2021 Q2	"Shetland Islands"	"S12000027"	"Total ULEVs"	107
2021 Q2	"South Ayrshire"	"S12000028"	"Total ULEVs"	439
2021 Q2	"South Lanarkshire"	"S12000029"	"Total ULEVs"	1184
2021 Q2	"Stirling"	"S12000030"	"Total ULEVs"	3159
2021 Q2	"West Dunbartonshire"	"S12000039"	"Total ULEVs"	263
2021 Q2	"West Lothian"	"S12000040"	"Total ULEVs"	764
2021 Q1	"Aberdeen City"	"S12000033"	"Total ULEVs"	801
2021 Q1	"Aberdeenshire"	"S12000034"	"Total ULEVs"	1285
2021 Q1	"Angus"	"S12000041"	"Total ULEVs"	476
2021 Q1	"Argyll and Bute"	"S12000035"	"Total ULEVs"	345
2021 Q1	"City of Edinburgh"	"S12000036"	"Total ULEVs"	2475
2021 Q1	"Clackmannanshire"	"S12000005"	"Total ULEVs"	140
2021 Q1	"Dumfries and Galloway"	"S12000006"	"Total ULEVs"	413
2021 Q1	"Dundee City"	"S12000042"	"Total ULEVs"	660
2021 Q1	"East Ayrshire"	"S12000008"	"Total ULEVs"	346
2021 Q1	"East Dunbartonshire"	"S12000045"	"Total ULEVs"	512
2021 Q1	"East Lothian"	"S12000010"	"Total ULEVs"	599
2021 Q1	"East Renfrewshire"	"S12000011"	"Total ULEVs"	597
2021 Q1	"Falkirk"	"S12000014"	"Total ULEVs"	517
2021 Q1	"Fife"	"S12000047"	"Total ULEVs"	1333
2021 Q1	"Glasgow City"	"S12000049"	"Total ULEVs"	1933
2021 Q1	"Highland"	"S12000017"	"Total ULEVs"	844
2021 Q1	"Inverclyde"	"S12000018"	"Total ULEVs"	189
2021 Q1	"Midlothian"	"S12000019"	"Total ULEVs"	438
2021 Q1	"Moray"	"S12000020"	"Total ULEVs"	290
2021 Q1	"Na h-Eileanan Siar"	"S12000013"	"Total ULEVs"	70
2021 Q1	"North Ayrshire"	"S12000021"	"Total ULEVs"	292
2021 Q1	"North Lanarkshire"	"S12000050"	"Total ULEVs"	719
2021 Q1	"Orkney Islands"	"S12000023"	"Total ULEVs"	316
2021 Q1	"Perth and Kinross"	"S12000048"	"Total ULEVs"	797
2021 Q1	"Renfrewshire"	"S12000038"	"Total ULEVs"	8142
2021 Q1	"Scottish Borders"	"S12000026"	"Total ULEVs"	566
2021 Q1	"Shetland Islands"	"S12000027"	"Total ULEVs"	86
2021 Q1	"South Ayrshire"	"S12000028"	"Total ULEVs"	385
2021 Q1	"South Lanarkshire"	"S12000029"	"Total ULEVs"	1020
2021 Q1	"Stirling"	"S12000030"	"Total ULEVs"	2682
2021 Q1	"West Dunbartonshire"	"S12000039"	"Total ULEVs"	228
2021 Q1	"West Lothian"	"S12000040"	"Total ULEVs"	635
2020 Q4	"Aberdeen City"	"S12000033"	"Total ULEVs"	735
2020 Q4	"Aberdeenshire"	"S12000034"	"Total ULEVs"	1148
2020 Q4	"Angus"	"S12000041"	"Total ULEVs"	438
2020 Q4	"Argyll and Bute"	"S12000035"	"Total ULEVs"	314
2020 Q4	"City of Edinburgh"	"S12000036"	"Total ULEVs"	2191
2020 Q4	"Clackmannanshire"	"S12000005"	"Total ULEVs"	129
2020 Q4	"Dumfries and Galloway"	"S12000006"	"Total ULEVs"	372
2020 Q4	"Dundee City"	"S12000042"	"Total ULEVs"	599
2020 Q4	"East Ayrshire"	"S12000008"	"Total ULEVs"	305
2020 Q4	"East Dunbartonshire"	"S12000045"	"Total ULEVs"	469
2020 Q4	"East Lothian"	"S12000010"	"Total ULEVs"	545
2020 Q4	"East Renfrewshire"	"S12000011"	"Total ULEVs"	518
2020 Q4	"Falkirk"	"S12000014"	"Total ULEVs"	463
2020 Q4	"Fife"	"S12000047"	"Total ULEVs"	1199
2020 Q4	"Glasgow City"	"S12000049"	"Total ULEVs"	1502
2020 Q4	"Highland"	"S12000017"	"Total ULEVs"	727
2020 Q4	"Inverclyde"	"S12000018"	"Total ULEVs"	169
2020 Q4	"Midlothian"	"S12000019"	"Total ULEVs"	403
2020 Q4	"Moray"	"S12000020"	"Total ULEVs"	248
2020 Q4	"Na h-Eileanan Siar"	"S12000013"	"Total ULEVs"	66
2020 Q4	"North Ayrshire"	"S12000021"	"Total ULEVs"	243
2020 Q4	"North Lanarkshire"	"S12000050"	"Total ULEVs"	618
2020 Q4	"Orkney Islands"	"S12000023"	"Total ULEVs"	295
2020 Q4	"Perth and Kinross"	"S12000048"	"Total ULEVs"	732
2020 Q4	"Renfrewshire"	"S12000038"	"Total ULEVs"	6896
2020 Q4	"Scottish Borders"	"S12000026"	"Total ULEVs"	502
2020 Q4	"Shetland Islands"	"S12000027"	"Total ULEVs"	73
2020 Q4	"South Ayrshire"	"S12000028"	"Total ULEVs"	353
2020 Q4	"South Lanarkshire"	"S12000029"	"Total ULEVs"	908
2020 Q4	"Stirling"	"S12000030"	"Total ULEVs"	2254
2020 Q4	"West Dunbartonshire"	"S12000039"	"Total ULEVs"	209
2020 Q4	"West Lothian"	"S12000040"	"Total ULEVs"	561
2020 Q3	"Aberdeen City"	"S12000033"	"Total ULEVs"	639
2020 Q3	"Aberdeenshire"	"S12000034"	"Total ULEVs"	1060
2020 Q3	"Angus"	"S12000041"	"Total ULEVs"	399
2020 Q3	"Argyll and Bute"	"S12000035"	"Total ULEVs"	287
2020 Q3	"City of Edinburgh"	"S12000036"	"Total ULEVs"	1934
2020 Q3	"Clackmannanshire"	"S12000005"	"Total ULEVs"	117
2020 Q3	"Dumfries and Galloway"	"S12000006"	"Total ULEVs"	327
2020 Q3	"Dundee City"	"S12000042"	"Total ULEVs"	548
2020 Q3	"East Ayrshire"	"S12000008"	"Total ULEVs"	272
2020 Q3	"East Dunbartonshire"	"S12000045"	"Total ULEVs"	423
2020 Q3	"East Lothian"	"S12000010"	"Total ULEVs"	481
2020 Q3	"East Renfrewshire"	"S12000011"	"Total ULEVs"	451
2020 Q3	"Falkirk"	"S12000014"	"Total ULEVs"	409
2020 Q3	"Fife"	"S12000047"	"Total ULEVs"	1093
2020 Q3	"Glasgow City"	"S12000049"	"Total ULEVs"	1271
2020 Q3	"Highland"	"S12000017"	"Total ULEVs"	663
2020 Q3	"Inverclyde"	"S12000018"	"Total ULEVs"	157
2020 Q3	"Midlothian"	"S12000019"	"Total ULEVs"	347
2020 Q3	"Moray"	"S12000020"	"Total ULEVs"	213
2020 Q3	"Na h-Eileanan Siar"	"S12000013"	"Total ULEVs"	61
2020 Q3	"North Ayrshire"	"S12000021"	"Total ULEVs"	222
2020 Q3	"North Lanarkshire"	"S12000050"	"Total ULEVs"	522
2020 Q3	"Orkney Islands"	"S12000023"	"Total ULEVs"	281
2020 Q3	"Perth and Kinross"	"S12000048"	"Total ULEVs"	666
2020 Q3	"Renfrewshire"	"S12000038"	"Total ULEVs"	5020
2020 Q3	"Scottish Borders"	"S12000026"	"Total ULEVs"	459
2020 Q3	"Shetland Islands"	"S12000027"	"Total ULEVs"	62
2020 Q3	"South Ayrshire"	"S12000028"	"Total ULEVs"	302
2020 Q3	"South Lanarkshire"	"S12000029"	"Total ULEVs"	817
2020 Q3	"Stirling"	"S12000030"	"Total ULEVs"	1904
2020 Q3	"West Dunbartonshire"	"S12000039"	"Total ULEVs"	184
2020 Q3	"West Lothian"	"S12000040"	"Total ULEVs"	500
2020 Q2	"Aberdeen City"	"S12000033"	"Total ULEVs"	559
2020 Q2	"Aberdeenshire"	"S12000034"	"Total ULEVs"	926
2020 Q2	"Angus"	"S12000041"	"Total ULEVs"	329
2020 Q2	"Argyll and Bute"	"S12000035"	"Total ULEVs"	240
2020 Q2	"City of Edinburgh"	"S12000036"	"Total ULEVs"	1669
2020 Q2	"Clackmannanshire"	"S12000005"	"Total ULEVs"	108
2020 Q2	"Dumfries and Galloway"	"S12000006"	"Total ULEVs"	281
2020 Q2	"Dundee City"	"S12000042"	"Total ULEVs"	465
2020 Q2	"East Ayrshire"	"S12000008"	"Total ULEVs"	230
2020 Q2	"East Dunbartonshire"	"S12000045"	"Total ULEVs"	364
2020 Q2	"East Lothian"	"S12000010"	"Total ULEVs"	399
2020 Q2	"East Renfrewshire"	"S12000011"	"Total ULEVs"	388
2020 Q2	"Falkirk"	"S12000014"	"Total ULEVs"	333
2020 Q2	"Fife"	"S12000047"	"Total ULEVs"	954
2020 Q2	"Glasgow City"	"S12000049"	"Total ULEVs"	948
2020 Q2	"Highland"	"S12000017"	"Total ULEVs"	561
2020 Q2	"Inverclyde"	"S12000018"	"Total ULEVs"	140
2020 Q2	"Midlothian"	"S12000019"	"Total ULEVs"	302
2020 Q2	"Moray"	"S12000020"	"Total ULEVs"	166
2020 Q2	"Na h-Eileanan Siar"	"S12000013"	"Total ULEVs"	51
2020 Q2	"North Ayrshire"	"S12000021"	"Total ULEVs"	201
2020 Q2	"North Lanarkshire"	"S12000050"	"Total ULEVs"	436
2020 Q2	"Orkney Islands"	"S12000023"	"Total ULEVs"	268
2020 Q2	"Perth and Kinross"	"S12000048"	"Total ULEVs"	575
2020 Q2	"Renfrewshire"	"S12000038"	"Total ULEVs"	3810
2020 Q2	"Scottish Borders"	"S12000026"	"Total ULEVs"	383
2020 Q2	"Shetland Islands"	"S12000027"	"Total ULEVs"	56
2020 Q2	"South Ayrshire"	"S12000028"	"Total ULEVs"	244
2020 Q2	"South Lanarkshire"	"S12000029"	"Total ULEVs"	701
2020 Q2	"Stirling"	"S12000030"	"Total ULEVs"	1588
2020 Q2	"West Dunbartonshire"	"S12000039"	"Total ULEVs"	161
2020 Q2	"West Lothian"	"S12000040"	"Total ULEVs"	435
2020 Q1	"Aberdeen City"	"S12000033"	"Total ULEVs"	571
2020 Q1	"Aberdeenshire"	"S12000034"	"Total ULEVs"	887
2020 Q1	"Angus"	"S12000041"	"Total ULEVs"	332
2020 Q1	"Argyll and Bute"	"S12000035"	"Total ULEVs"	231
2020 Q1	"City of Edinburgh"	"S12000036"	"Total ULEVs"	1630
2020 Q1	"Clackmannanshire"	"S12000005"	"Total ULEVs"	105
2020 Q1	"Dumfries and Galloway"	"S12000006"	"Total ULEVs"	268
2020 Q1	"Dundee City"	"S12000042"	"Total ULEVs"	479
2020 Q1	"East Ayrshire"	"S12000008"	"Total ULEVs"	221
2020 Q1	"East Dunbartonshire"	"S12000045"	"Total ULEVs"	346
2020 Q1	"East Lothian"	"S12000010"	"Total ULEVs"	381
2020 Q1	"East Renfrewshire"	"S12000011"	"Total ULEVs"	392
2020 Q1	"Falkirk"	"S12000014"	"Total ULEVs"	324
2020 Q1	"Fife"	"S12000047"	"Total ULEVs"	937
2020 Q1	"Glasgow City"	"S12000049"	"Total ULEVs"	917
2020 Q1	"Highland"	"S12000017"	"Total ULEVs"	538
2020 Q1	"Inverclyde"	"S12000018"	"Total ULEVs"	134
2020 Q1	"Midlothian"	"S12000019"	"Total ULEVs"	294
2020 Q1	"Moray"	"S12000020"	"Total ULEVs"	170
2020 Q1	"Na h-Eileanan Siar"	"S12000013"	"Total ULEVs"	49
2020 Q1	"North Ayrshire"	"S12000021"	"Total ULEVs"	198
2020 Q1	"North Lanarkshire"	"S12000050"	"Total ULEVs"	427
2020 Q1	"Orkney Islands"	"S12000023"	"Total ULEVs"	263
2020 Q1	"Perth and Kinross"	"S12000048"	"Total ULEVs"	561
2020 Q1	"Renfrewshire"	"S12000038"	"Total ULEVs"	3727
2020 Q1	"Scottish Borders"	"S12000026"	"Total ULEVs"	371
2020 Q1	"Shetland Islands"	"S12000027"	"Total ULEVs"	56
2020 Q1	"South Ayrshire"	"S12000028"	"Total ULEVs"	244
2020 Q1	"South Lanarkshire"	"S12000029"	"Total ULEVs"	681
2020 Q1	"Stirling"	"S12000030"	"Total ULEVs"	1549
2020 Q1	"West Dunbartonshire"	"S12000039"	"Total ULEVs"	159
2020 Q1	"West Lothian"	"S12000040"	"Total ULEVs"	425
2019 Q4	"Aberdeen City"	"S12000033"	"Total ULEVs"	513
2019 Q4	"Aberdeenshire"	"S12000034"	"Total ULEVs"	793
2019 Q4	"Angus"	"S12000041"	"Total ULEVs"	300
2019 Q4	"Argyll and Bute"	"S12000035"	"Total ULEVs"	217
2019 Q4	"City of Edinburgh"	"S12000036"	"Total ULEVs"	1432
2019 Q4	"Clackmannanshire"	"S12000005"	"Total ULEVs"	93
2019 Q4	"Dumfries and Galloway"	"S12000006"	"Total ULEVs"	233
2019 Q4	"Dundee City"	"S12000042"	"Total ULEVs"	444
2019 Q4	"East Ayrshire"	"S12000008"	"Total ULEVs"	196
2019 Q4	"East Dunbartonshire"	"S12000045"	"Total ULEVs"	315
2019 Q4	"East Lothian"	"S12000010"	"Total ULEVs"	352
2019 Q4	"East Renfrewshire"	"S12000011"	"Total ULEVs"	348
2019 Q4	"Falkirk"	"S12000014"	"Total ULEVs"	284
2019 Q4	"Fife"	"S12000047"	"Total ULEVs"	840
2019 Q4	"Glasgow City"	"S12000049"	"Total ULEVs"	756
2019 Q4	"Highland"	"S12000017"	"Total ULEVs"	482
2019 Q4	"Inverclyde"	"S12000018"	"Total ULEVs"	111
2019 Q4	"Midlothian"	"S12000019"	"Total ULEVs"	262
2019 Q4	"Moray"	"S12000020"	"Total ULEVs"	152
2019 Q4	"Na h-Eileanan Siar"	"S12000013"	"Total ULEVs"	44
2019 Q4	"North Ayrshire"	"S12000021"	"Total ULEVs"	164
2019 Q4	"North Lanarkshire"	"S12000050"	"Total ULEVs"	396
2019 Q4	"Orkney Islands"	"S12000023"	"Total ULEVs"	253
2019 Q4	"Perth and Kinross"	"S12000048"	"Total ULEVs"	504
2019 Q4	"Renfrewshire"	"S12000038"	"Total ULEVs"	3491
2019 Q4	"Scottish Borders"	"S12000026"	"Total ULEVs"	348
2019 Q4	"Shetland Islands"	"S12000027"	"Total ULEVs"	54
2019 Q4	"South Ayrshire"	"S12000028"	"Total ULEVs"	211
2019 Q4	"South Lanarkshire"	"S12000029"	"Total ULEVs"	613
2019 Q4	"Stirling"	"S12000030"	"Total ULEVs"	1384
2019 Q4	"West Dunbartonshire"	"S12000039"	"Total ULEVs"	136
2019 Q4	"West Lothian"	"S12000040"	"Total ULEVs"	383
2019 Q3	"Aberdeen City"	"S12000033"	"Total ULEVs"	476
2019 Q3	"Aberdeenshire"	"S12000034"	"Total ULEVs"	711
2019 Q3	"Angus"	"S12000041"	"Total ULEVs"	283
2019 Q3	"Argyll and Bute"	"S12000035"	"Total ULEVs"	198
2019 Q3	"City of Edinburgh"	"S12000036"	"Total ULEVs"	1291
2019 Q3	"Clackmannanshire"	"S12000005"	"Total ULEVs"	83
2019 Q3	"Dumfries and Galloway"	"S12000006"	"Total ULEVs"	219
2019 Q3	"Dundee City"	"S12000042"	"Total ULEVs"	407
2019 Q3	"East Ayrshire"	"S12000008"	"Total ULEVs"	181
2019 Q3	"East Dunbartonshire"	"S12000045"	"Total ULEVs"	271
2019 Q3	"East Lothian"	"S12000010"	"Total ULEVs"	305
2019 Q3	"East Renfrewshire"	"S12000011"	"Total ULEVs"	329
2019 Q3	"Falkirk"	"S12000014"	"Total ULEVs"	237
2019 Q3	"Fife"	"S12000047"	"Total ULEVs"	756
2019 Q3	"Glasgow City"	"S12000049"	"Total ULEVs"	706
2019 Q3	"Highland"	"S12000017"	"Total ULEVs"	432
2019 Q3	"Inverclyde"	"S12000018"	"Total ULEVs"	109
2019 Q3	"Midlothian"	"S12000019"	"Total ULEVs"	242
2019 Q3	"Moray"	"S12000020"	"Total ULEVs"	136
2019 Q3	"Na h-Eileanan Siar"	"S12000013"	"Total ULEVs"	40
2019 Q3	"North Ayrshire"	"S12000021"	"Total ULEVs"	158
2019 Q3	"North Lanarkshire"	"S12000050"	"Total ULEVs"	367
2019 Q3	"Orkney Islands"	"S12000023"	"Total ULEVs"	248
2019 Q3	"Perth and Kinross"	"S12000048"	"Total ULEVs"	462
2019 Q3	"Renfrewshire"	"S12000038"	"Total ULEVs"	3159
2019 Q3	"Scottish Borders"	"S12000026"	"Total ULEVs"	322
2019 Q3	"Shetland Islands"	"S12000027"	"Total ULEVs"	51
2019 Q3	"South Ayrshire"	"S12000028"	"Total ULEVs"	195
2019 Q3	"South Lanarkshire"	"S12000029"	"Total ULEVs"	558
2019 Q3	"Stirling"	"S12000030"	"Total ULEVs"	1272
2019 Q3	"West Dunbartonshire"	"S12000039"	"Total ULEVs"	124
2019 Q3	"West Lothian"	"S12000040"	"Total ULEVs"	353
2019 Q2	"Aberdeen City"	"S12000033"	"Total ULEVs"	443
2019 Q2	"Aberdeenshire"	"S12000034"	"Total ULEVs"	650
2019 Q2	"Angus"	"S12000041"	"Total ULEVs"	260
2019 Q2	"Argyll and Bute"	"S12000035"	"Total ULEVs"	182
2019 Q2	"City of Edinburgh"	"S12000036"	"Total ULEVs"	1137
2019 Q2	"Clackmannanshire"	"S12000005"	"Total ULEVs"	84
2019 Q2	"Dumfries and Galloway"	"S12000006"	"Total ULEVs"	211
2019 Q2	"Dundee City"	"S12000042"	"Total ULEVs"	391
2019 Q2	"East Ayrshire"	"S12000008"	"Total ULEVs"	181
2019 Q2	"East Dunbartonshire"	"S12000045"	"Total ULEVs"	233
2019 Q2	"East Lothian"	"S12000010"	"Total ULEVs"	275
2019 Q2	"East Renfrewshire"	"S12000011"	"Total ULEVs"	296
2019 Q2	"Falkirk"	"S12000014"	"Total ULEVs"	215
2019 Q2	"Fife"	"S12000047"	"Total ULEVs"	677
2019 Q2	"Glasgow City"	"S12000049"	"Total ULEVs"	644
2019 Q2	"Highland"	"S12000017"	"Total ULEVs"	383
2019 Q2	"Inverclyde"	"S12000018"	"Total ULEVs"	97
2019 Q2	"Midlothian"	"S12000019"	"Total ULEVs"	219
2019 Q2	"Moray"	"S12000020"	"Total ULEVs"	121
2019 Q2	"Na h-Eileanan Siar"	"S12000013"	"Total ULEVs"	36
2019 Q2	"North Ayrshire"	"S12000021"	"Total ULEVs"	145
2019 Q2	"North Lanarkshire"	"S12000050"	"Total ULEVs"	342
2019 Q2	"Orkney Islands"	"S12000023"	"Total ULEVs"	237
2019 Q2	"Perth and Kinross"	"S12000048"	"Total ULEVs"	417
2019 Q2	"Renfrewshire"	"S12000038"	"Total ULEVs"	2795
2019 Q2	"Scottish Borders"	"S12000026"	"Total ULEVs"	288
2019 Q2	"Shetland Islands"	"S12000027"	"Total ULEVs"	48
2019 Q2	"South Ayrshire"	"S12000028"	"Total ULEVs"	173
2019 Q2	"South Lanarkshire"	"S12000029"	"Total ULEVs"	498
2019 Q2	"Stirling"	"S12000030"	"Total ULEVs"	1150
2019 Q2	"West Dunbartonshire"	"S12000039"	"Total ULEVs"	111
2019 Q2	"West Lothian"	"S12000040"	"Total ULEVs"	322
2019 Q1	"Aberdeen City"	"S12000033"	"Total ULEVs"	427
2019 Q1	"Aberdeenshire"	"S12000034"	"Total ULEVs"	621
2019 Q1	"Angus"	"S12000041"	"Total ULEVs"	239
2019 Q1	"Argyll and Bute"	"S12000035"	"Total ULEVs"	176
2019 Q1	"City of Edinburgh"	"S12000036"	"Total ULEVs"	1038
2019 Q1	"Clackmannanshire"	"S12000005"	"Total ULEVs"	79
2019 Q1	"Dumfries and Galloway"	"S12000006"	"Total ULEVs"	192
2019 Q1	"Dundee City"	"S12000042"	"Total ULEVs"	382
2019 Q1	"East Ayrshire"	"S12000008"	"Total ULEVs"	161
2019 Q1	"East Dunbartonshire"	"S12000045"	"Total ULEVs"	212
2019 Q1	"East Lothian"	"S12000010"	"Total ULEVs"	255
2019 Q1	"East Renfrewshire"	"S12000011"	"Total ULEVs"	294
2019 Q1	"Falkirk"	"S12000014"	"Total ULEVs"	200
2019 Q1	"Fife"	"S12000047"	"Total ULEVs"	648
2019 Q1	"Glasgow City"	"S12000049"	"Total ULEVs"	606
2019 Q1	"Highland"	"S12000017"	"Total ULEVs"	355
2019 Q1	"Inverclyde"	"S12000018"	"Total ULEVs"	95
2019 Q1	"Midlothian"	"S12000019"	"Total ULEVs"	204
2019 Q1	"Moray"	"S12000020"	"Total ULEVs"	118
2019 Q1	"Na h-Eileanan Siar"	"S12000013"	"Total ULEVs"	28
2019 Q1	"North Ayrshire"	"S12000021"	"Total ULEVs"	139
2019 Q1	"North Lanarkshire"	"S12000050"	"Total ULEVs"	331
2019 Q1	"Orkney Islands"	"S12000023"	"Total ULEVs"	232
2019 Q1	"Perth and Kinross"	"S12000048"	"Total ULEVs"	386
2019 Q1	"Renfrewshire"	"S12000038"	"Total ULEVs"	2470
2019 Q1	"Scottish Borders"	"S12000026"	"Total ULEVs"	272
2019 Q1	"Shetland Islands"	"S12000027"	"Total ULEVs"	46
2019 Q1	"South Ayrshire"	"S12000028"	"Total ULEVs"	156
2019 Q1	"South Lanarkshire"	"S12000029"	"Total ULEVs"	479
2019 Q1	"Stirling"	"S12000030"	"Total ULEVs"	1097
2019 Q1	"West Dunbartonshire"	"S12000039"	"Total ULEVs"	100
2019 Q1	"West Lothian"	"S12000040"	"Total ULEVs"	302
2018 Q4	"Aberdeen City"	"S12000033"	"Total ULEVs"	403
2018 Q4	"Aberdeenshire"	"S12000034"	"Total ULEVs"	579
2018 Q4	"Angus"	"S12000041"	"Total ULEVs"	224
2018 Q4	"Argyll and Bute"	"S12000035"	"Total ULEVs"	160
2018 Q4	"City of Edinburgh"	"S12000036"	"Total ULEVs"	945
2018 Q4	"Clackmannanshire"	"S12000005"	"Total ULEVs"	77
2018 Q4	"Dumfries and Galloway"	"S12000006"	"Total ULEVs"	173
2018 Q4	"Dundee City"	"S12000042"	"Total ULEVs"	359
2018 Q4	"East Ayrshire"	"S12000008"	"Total ULEVs"	145
2018 Q4	"East Dunbartonshire"	"S12000045"	"Total ULEVs"	188
2018 Q4	"East Lothian"	"S12000010"	"Total ULEVs"	227
2018 Q4	"East Renfrewshire"	"S12000011"	"Total ULEVs"	279
2018 Q4	"Falkirk"	"S12000014"	"Total ULEVs"	175
2018 Q4	"Fife"	"S12000047"	"Total ULEVs"	615
2018 Q4	"Glasgow City"	"S12000049"	"Total ULEVs"	561
2018 Q4	"Highland"	"S12000017"	"Total ULEVs"	326
2018 Q4	"Inverclyde"	"S12000018"	"Total ULEVs"	73
2018 Q4	"Midlothian"	"S12000019"	"Total ULEVs"	176
2018 Q4	"Moray"	"S12000020"	"Total ULEVs"	105
2018 Q4	"Na h-Eileanan Siar"	"S12000013"	"Total ULEVs"	25
2018 Q4	"North Ayrshire"	"S12000021"	"Total ULEVs"	136
2018 Q4	"North Lanarkshire"	"S12000050"	"Total ULEVs"	310
2018 Q4	"Orkney Islands"	"S12000023"	"Total ULEVs"	222
2018 Q4	"Perth and Kinross"	"S12000048"	"Total ULEVs"	359
2018 Q4	"Renfrewshire"	"S12000038"	"Total ULEVs"	2126
2018 Q4	"Scottish Borders"	"S12000026"	"Total ULEVs"	254
2018 Q4	"Shetland Islands"	"S12000027"	"Total ULEVs"	46
2018 Q4	"South Ayrshire"	"S12000028"	"Total ULEVs"	159
2018 Q4	"South Lanarkshire"	"S12000029"	"Total ULEVs"	462
2018 Q4	"Stirling"	"S12000030"	"Total ULEVs"	979
2018 Q4	"West Dunbartonshire"	"S12000039"	"Total ULEVs"	91
2018 Q4	"West Lothian"	"S12000040"	"Total ULEVs"	282
2018 Q3	"Aberdeen City"	"S12000033"	"Total ULEVs"	369
2018 Q3	"Aberdeenshire"	"S12000034"	"Total ULEVs"	531
2018 Q3	"Angus"	"S12000041"	"Total ULEVs"	220
2018 Q3	"Argyll and Bute"	"S12000035"	"Total ULEVs"	144
2018 Q3	"City of Edinburgh"	"S12000036"	"Total ULEVs"	872
2018 Q3	"Clackmannanshire"	"S12000005"	"Total ULEVs"	72
2018 Q3	"Dumfries and Galloway"	"S12000006"	"Total ULEVs"	158
2018 Q3	"Dundee City"	"S12000042"	"Total ULEVs"	352
2018 Q3	"East Ayrshire"	"S12000008"	"Total ULEVs"	132
2018 Q3	"East Dunbartonshire"	"S12000045"	"Total ULEVs"	163
2018 Q3	"East Lothian"	"S12000010"	"Total ULEVs"	211
2018 Q3	"East Renfrewshire"	"S12000011"	"Total ULEVs"	213
2018 Q3	"Falkirk"	"S12000014"	"Total ULEVs"	167
2018 Q3	"Fife"	"S12000047"	"Total ULEVs"	588
2018 Q3	"Glasgow City"	"S12000049"	"Total ULEVs"	525
2018 Q3	"Highland"	"S12000017"	"Total ULEVs"	291
2018 Q3	"Inverclyde"	"S12000018"	"Total ULEVs"	67
2018 Q3	"Midlothian"	"S12000019"	"Total ULEVs"	157
2018 Q3	"Moray"	"S12000020"	"Total ULEVs"	91
2018 Q3	"Na h-Eileanan Siar"	"S12000013"	"Total ULEVs"	24
2018 Q3	"North Ayrshire"	"S12000021"	"Total ULEVs"	128
2018 Q3	"North Lanarkshire"	"S12000050"	"Total ULEVs"	286
2018 Q3	"Orkney Islands"	"S12000023"	"Total ULEVs"	215
2018 Q3	"Perth and Kinross"	"S12000048"	"Total ULEVs"	336
2018 Q3	"Renfrewshire"	"S12000038"	"Total ULEVs"	1838
2018 Q3	"Scottish Borders"	"S12000026"	"Total ULEVs"	238
2018 Q3	"Shetland Islands"	"S12000027"	"Total ULEVs"	45
2018 Q3	"South Ayrshire"	"S12000028"	"Total ULEVs"	146
2018 Q3	"South Lanarkshire"	"S12000029"	"Total ULEVs"	403
2018 Q3	"Stirling"	"S12000030"	"Total ULEVs"	916
