"Date"	"PiG Eligible Cars 2,3"	"...3"	"Non PiG Eligible Plug-in Cars 2,3"	"Non Plug-in Cars"	"Plug-in Quadricycles"	"All Cars"	"...8"	"PiG Eligible Motorcycles 2,4"	"Non PiG Eligible Motorcycles 2,4"	"All Motorcycles 4"	"...12"	"PiG Eligible Light Goods Vehicles 2"	"Non PiG Eligible Plug-in Light Goods Vehicles 2"	"Non Plug-in Light Goods Vehicles"	"All Light Goods Vehicles"	"...17"	"Heavy Goods Vehicles"	"Buses & coaches"	"Other vehicles"	"Total"
"2012 Q3"	"16"	"18"	"0"	"0"	"1"	"35"	0	"0"	"0"	"0"	0	"25"	"5"	"0"	"30"	0	"0"	"0"	"1"	"66"
"2012 Q4"	"33"	"7"	"3"	"0"	"1"	"44"	0	"0"	"0"	"0"	0	"11"	"0"	"0"	"11"	0	"0"	"0"	"1"	"56"
"2013 Q1"	"12"	"14"	"0"	"0"	"0"	"26"	0	"0"	"0"	"0"	0	"4"	"0"	"0"	"4"	0	"0"	"0"	"0"	"30"
"2013 Q2"	"50"	"16"	"1"	"0"	"0"	"67"	0	"0"	"0"	"0"	0	"1"	"1"	"0"	"2"	0	"0"	"0"	"3"	"72"
"2013 Q3"	"44"	"9"	"3"	"0"	"1"	"57"	0	"0"	"0"	"0"	0	"3"	"0"	"0"	"3"	0	"0"	"1"	"1"	"62"
"2013 Q4"	"38"	"8"	"0"	"0"	"0"	"46"	0	"0"	"0"	"0"	0	"1"	"2"	"0"	"3"	0	"0"	"0"	"1"	"50"
"2014 Q1"	"111"	"19"	"0"	"0"	"0"	"130"	0	"0"	"0"	"0"	0	"9"	"0"	"0"	"9"	0	"0"	"0"	"1"	"140"
"2014 Q2"	"114"	"48"	"4"	"0"	"1"	"167"	0	"3"	"0"	"3"	0	"11"	"1"	"0"	"12"	0	"0"	"2"	"1"	"185"
"2014 Q3"	"140"	"122"	"5"	"0"	"2"	"269"	0	"0"	"0"	"0"	0	"10"	"2"	"0"	"12"	0	"0"	"1"	"2"	"284"
"2014 Q4"	"168"	"90"	"14"	"0"	"0"	"272"	0	"0"	"1"	"1"	0	"12"	"2"	"0"	"14"	0	"0"	"4"	"0"	"291"
"2015 Q1"	"172"	"173"	"20"	"0"	"8"	"373"	0	"0"	"2"	"2"	0	"28"	"1"	"0"	"29"	0	"0"	"5"	"0"	"409"
"2015 Q2"	"131"	"168"	"18"	"0"	"2"	"319"	0	"0"	"1"	"1"	0	"15"	"2"	"0"	"17"	0	"0"	"1"	"0"	"338"
"2015 Q3"	"123"	"145"	"11"	"1"	"1"	"281"	0	"0"	"1"	"1"	0	"14"	"2"	"0"	"16"	0	"0"	"0"	"1"	"299"
"2015 Q4"	"188"	"151"	"2"	"0"	"3"	"344"	0	"0"	"1"	"1"	0	"6"	"2"	"0"	"8"	0	"0"	"0"	"0"	"353"
"2016 Q1"	"198"	"237"	"13"	"4"	"1"	"453"	0	"0"	"3"	"3"	0	"26"	"0"	"0"	"26"	0	"1"	"0"	"2"	"485"
"2016 Q2"	"131"	"132"	"8"	"21"	"0"	"292"	0	"0"	"3"	"3"	0	"20"	"0"	"0"	"20"	0	"0"	"0"	"1"	"316"
"2016 Q3"	"162"	"202"	"9"	"14"	"1"	"388"	0	"0"	"2"	"2"	0	"12"	"0"	"0"	"12"	0	"1"	"0"	"0"	"403"
"2016 Q4"	"145"	"128"	"12"	"19"	"0"	"304"	0	"0"	"3"	"3"	0	"10"	"2"	"0"	"12"	0	"0"	"0"	"0"	"319"
"2017 Q1"	"347"	"279"	"14"	"26"	"0"	"666"	0	"0"	"1"	"1"	0	"23"	"1"	"0"	"24"	0	"0"	"0"	"0"	"691"
"2017 Q2"	"248"	"228"	"14"	"29"	"1"	"520"	0	"0"	"5"	"5"	0	"22"	"1"	"0"	"23"	0	"0"	"0"	"1"	"549"
"2017 Q3"	"254"	"415"	"26"	"26"	"0"	"721"	0	"2"	"8"	"10"	0	"14"	"1"	"0"	"15"	0	"0"	"6"	"0"	"752"
"2017 Q4"	"150"	"338"	"12"	"30"	"0"	"530"	0	"2"	"3"	"5"	0	"11"	"1"	"0"	"12"	0	"0"	"0"	"3"	"550"
"2018 Q1"	"276"	"502"	"22"	"24"	"0"	"824"	0	"0"	"1"	"1"	0	"17"	"2"	"0"	"19"	0	"0"	"0"	"1"	"845"
"2018 Q2"	"283"	"544"	"62"	"5"	"1"	"895"	0	"3"	"5"	"8"	0	"21"	"0"	"0"	"21"	0	"0"	"0"	"3"	"927"
"2018 Q3"	"294"	"447"	"51"	"2"	"0"	"794"	0	"5"	"6"	"11"	0	"22"	"0"	"0"	"22"	0	"0"	"0"	"8"	"835"
"2018 Q4"	"276"	"62"	"538"	"0"	"1"	"877"	0	"2"	"7"	"9"	0	"21"	"0"	"0"	"21"	0	"0"	"1"	"14"	"922"
"2019 Q1"	"526"	"0"	"569"	"0"	"0"	"1095"	0	"3"	"7"	"10"	0	"40"	"3"	"0"	"43"	0	"0"	"0"	"24"	"1172"
"2019 Q2"	"431"	"0"	"458"	"0"	"0"	"889"	0	"6"	"10"	"16"	0	"48"	"1"	"0"	"49"	0	"2"	"0"	"15"	"971"
"2019 Q3"	"870"	"0"	"539"	"0"	"0"	"1409"	0	"13"	"2"	"15"	0	"41"	"4"	"0"	"45"	0	"0"	"3"	"19"	"1491"
"2019 Q4"	"792"	"0"	"520"	"0"	"0"	"1312"	0	"13"	"7"	"20"	0	"66"	"0"	"0"	"66"	0	"0"	"0"	"34"	"1432"
"2020 Q1"	"1022"	"0"	"553"	"1"	"0"	"1576"	0	"5"	"13"	"18"	0	"75"	"0"	"0"	"75"	0	"0"	"2"	"16"	"1687"
"2020 Q2"	"518"	"0"	"253"	"0"	"0"	"771"	0	"12"	"1"	"13"	0	"28"	"2"	"0"	"30"	0	"0"	"0"	"2"	"816"
