"Technology","Project Name","Site Name","Operational Capacity (MW)"
"Small Hydro","Ashfield House Hydro","Ashfield House Hydro",0.21
"Small Hydro","Ashfield Mill","Ashfield Mill",0.15
"Small Hydro","Balgonie Hydro Power Station","Balgonie Hydro Power Station",0.65
"Small Hydro","Beochlich Hydro Scheme","Beochlich Hydro Scheme",0.998
"Small Hydro","Birkhall Estate","Birkhall Estate",2
"Small Hydro","Blarghour","Blarghour",0.475
"Small Hydro","Bridge of Tilt","Bridge of Tilt",0.15
"Small Hydro","Burnhead Power Station","Burnhead Power Station",1.3
"Small Hydro","Callop & Guesachan","Callop & Guesachan",1.445
"Small Hydro","Camserney Hydron Scheme","Camserney Hydron Scheme",0.9
"Small Hydro","Cauldron Linn","Cauldron Linn",0.436
"Small Hydro","Clachbreck","Clachbreck",0.132
"Small Hydro","Clatto Treatment Works","Clatto Treatment Works",0.171
"Small Hydro","Cleghorn Bridge Hydro","Cleghorn Bridge Hydro",0.32
"Small Hydro","Conaglen House","Conaglen House",0.25
"Small Hydro","Deanston HES","Deanston HES",0.4
"Small Hydro","Drimsynie Estate Power Station","Drimsynie Estate Power Station",0.4
"Small Hydro","Duror Hydro Scheme","Duror Hydro Scheme",0.71
"Small Hydro","ELIOCK HOUSE PRIVATE HYDRO","ELIOCK HOUSE PRIVATE HYDRO",0.56
"Small Hydro","Esregan","Esregan",0.955
"Small Hydro","Faichemard Farm Hydro","Faichemard Farm Hydro",0.165
"Small Hydro","Fairburn House","Fairburn House",0.11
"Small Hydro","Fettykil Mills","Fettykil Mills",0.4
"Small Hydro","FIT-Hydro S","FIT-Hydro S",190.34862
"Small Hydro","Forebush Power Station","Forebush Power Station",0.65
"Small Hydro","Forrest Estate","Forrest Estate",3.611
"Small Hydro","Garbhaig Hydro","Garbhaig Hydro",2.972
"Small Hydro","Glen Finglas Turbine","Glen Finglas Turbine",0.46
"Small Hydro","Glen Kinglas Hydro Ltd","Glen Kinglas Hydro Ltd",0.96
"Small Hydro","Glen Kinglass","Glen Kinglass",1
"Small Hydro","Glenborrodale Hydro","Glenborrodale Hydro",0.15
"Small Hydro","Glendevon","Glendevon",1.389
"Small Hydro","Glenfinglass","Glenfinglass",1.278
"Small Hydro","Glenglass Hydro","Glenglass Hydro",0.916
"Small Hydro","Glenlyon Est","Glenlyon Est",0.9
"Small Hydro","Glenmore Power Station","Glenmore Power Station",0.12
"Small Hydro","Hearthstanes Est","Hearthstanes Est",0.122
"Small Hydro","Inverfarigaig","Inverfarigaig",4
"Small Hydro","Kildermorie Estate","Kildermorie Estate",0.1
"Small Hydro","Kinnaird","Kinnaird",0.25
"Small Hydro","Knoydart Hydro","Knoydart Hydro",0.28
"Small Hydro","Laig Hydro Station","Laig Hydro Station",0.1
"Small Hydro","Lintrathen Water Works","Lintrathen Water Works",0.3
"Small Hydro","Little Wyvis","Little Wyvis",0.68
"Small Hydro","Loch Braden WTW","Loch Braden WTW",0.45
"Small Hydro","Loch Calder  (WTW)","Loch Calder  (WTW)",0.11
"Small Hydro","Loch Poll Hydro Project","Loch Poll Hydro Project",0.225
"Small Hydro","Loch Turret","Loch Turret",1.826
"Small Hydro","Lude Est","Lude Est",0.333
"Small Hydro","Mannoch Power Station","Mannoch Power Station",0.257
"Small Hydro","Monzie","Monzie",0.2
"Small Hydro","MRC Energy","MRC Energy",0.45
"Small Hydro","New Lanark Mills","New Lanark Mills",0.5
"Small Hydro","Novar Estate","Novar Estate",2.556
"Small Hydro","Ormsary Fish Farm","Ormsary Fish Farm",0.785
"Small Hydro","Roshven","Roshven",0.5
"Small Hydro","Rottal Hydro Ltd","Rottal Hydro Ltd",0.45
"Small Hydro","RWE Npower (Kielder)","Glen Noe",2
"Small Hydro","RWE Npower Plc","Auchtertyre Hydro Scheme (SRO)",0.6
"Small Hydro","RWE Npower Plc","Black Rock",3.5
"Small Hydro","RWE Npower Plc","Blantyre Mills",0.57
"Small Hydro","RWE Npower Plc","Braevallich Hydroelectric Scheme",2.274
"Small Hydro","RWE Npower Plc","Carnoch Hydro Electric Generating Station",1.35
"Small Hydro","RWE Npower Plc","Cia Aig Hydro",3
"Small Hydro","RWE Npower Plc","Douglas Water",2.969
"Small Hydro","RWE Npower Plc","Garrogie Hydro Scheme",2.4
"Small Hydro","RWE Npower Plc","Garry Gualach Hydro Scheme (SRO)",0.78
"Small Hydro","RWE Npower Plc","Glen Tarbert (SRO)",0.85
"Small Hydro","RWE Npower Plc","Grudie",2
"Small Hydro","RWE Npower Plc","Inverbain Hydroelectric Scheme",0.95
"Small Hydro","RWE Npower Plc","Inverlael",2.5
"Small Hydro","RWE Npower Plc","Maldie",4
"Small Hydro","RWE Npower Plc","River E Hydro Electric Generating Station",3
"Small Hydro","Saline ROC","Saline ROC",0.09
"Small Hydro","Scottish & Southern Energy plc","Achanalt",3.1
"Small Hydro","Scottish & Southern Energy plc","Awe Barrage - A",0.886
"Small Hydro","Scottish & Southern Energy plc","Beannachran Dam",0.16
"Small Hydro","Scottish & Southern Energy plc","Ceannacroc Compensation Generator",4
"Small Hydro","Scottish & Southern Energy plc","Chliostair (Harris)",1.32
"Small Hydro","Scottish & Southern Energy plc","Claddoch Power Station",0.22
"Small Hydro","Scottish & Southern Energy plc","Cluanie Dam",0.32
"Small Hydro","Scottish & Southern Energy plc","Clunie Dam",0.175
"Small Hydro","Scottish & Southern Energy plc","Cuaich Power Station",2.5
"Small Hydro","Scottish & Southern Energy plc","Cuileig Hydro Scheme",3.3
"Small Hydro","Scottish & Southern Energy plc","Culligran Comp Set",2
"Small Hydro","Scottish & Southern Energy plc","Dalchonzie",4
"Small Hydro","Scottish & Southern Energy plc","Duchally Power Station",0.45
"Small Hydro","Scottish & Southern Energy plc","Dundreggan Dam",0.16
"Small Hydro","Scottish & Southern Energy plc","Gaur comp",0.4
"Small Hydro","Scottish & Southern Energy plc","Gisla (Lewis)",0.72
"Small Hydro","Scottish & Southern Energy plc","Invergarry Dam",0.24
"Small Hydro","Scottish & Southern Energy plc","Kerry Falls",1.25
"Small Hydro","Scottish & Southern Energy plc","Kilmelford",2.082
"Small Hydro","Scottish & Southern Energy plc","Kilmelford Compset",0.082
"Small Hydro","Scottish & Southern Energy plc","Kingairloch Power Station",3.5
"Small Hydro","Scottish & Southern Energy plc","Lairg Power Station",3.5
"Small Hydro","Scottish & Southern Energy plc","Lednock",3
"Small Hydro","Scottish & Southern Energy plc","Loch Dubh (Ullapool)",1.2
"Small Hydro","Scottish & Southern Energy plc","Loch Ericht Power Station",2.2
"Small Hydro","Scottish & Southern Energy plc","Lochay Compensation Generator",2
"Small Hydro","Scottish & Southern Energy plc","Lochay Fish Pass Generator",0.054
"Small Hydro","Scottish & Southern Energy plc","Loyne Tunnel",0.55
"Small Hydro","Scottish & Southern Energy plc","Lubreoch Power Station",4
"Small Hydro","Scottish & Southern Energy plc","Luichart Dam",0.085
"Small Hydro","Scottish & Southern Energy plc","Lussa Power Station",2.4
"Small Hydro","Scottish & Southern Energy plc","Meig Dam",0.076
"Small Hydro","Scottish & Southern Energy plc","Misgeach Power Station",0.35
"Small Hydro","Scottish & Southern Energy plc","Morar",0.75
"Small Hydro","Scottish & Southern Energy plc","Mucomir",1.7
"Small Hydro","Scottish & Southern Energy plc","Mucomir comp",0.2
"Small Hydro","Scottish & Southern Energy plc","Mullardoch Tunnel",2.4
"Small Hydro","Scottish & Southern Energy plc","Nostie Bridge (Lochalsh)",1.3
"Small Hydro","Scottish & Southern Energy plc","Orrin Dam",0.256
"Small Hydro","Scottish & Southern Energy plc","Pitlochry Compensation Generation",0.059
"Small Hydro","Scottish & Southern Energy plc","Quoich Dam",0.32
"Small Hydro","Scottish & Southern Energy plc","Shin Diversion Dam",0.1
"Small Hydro","Scottish & Southern Energy plc","Storr Lochs (Skye)",2.4
"Small Hydro","Scottish & Southern Energy plc","Stronuich Power Station",0.18
"Small Hydro","Scottish & Southern Energy plc","Tobermory Power Station",0.28
"Small Hydro","Scottish & Southern Energy plc","Tralaig Power Station",0.084
"Small Hydro","Scottish & Southern Energy plc","Trinafour",0.55
"Small Hydro","Scottish & Southern Energy plc","Vaich Power Station",0.32
"Small Hydro","Scottish Power (Galloway)","Drumjohn",1
"Small Hydro","Silverhills House","Silverhills House",0.278
"Small Hydro","Stanley Mills (SRO)","Stanley Mills (SRO)",0.84
"Small Hydro","Stoneywood Mill","Stoneywood Mill",0.62
"Small Hydro","Stormontfield Hydro Station","Stormontfield Hydro Station",0.11
"Small Hydro","Strathdon Hydro","Strathdon Hydro",0.075
"Small Hydro","Temporis Capital Ltd","Allt Fionn Hydro Scheme",1.995
"Small Hydro","Temporis Capital Ltd","Derrydarroch",1.995
"Small Hydro","Temporis Capital Ltd","Upper Falloch Hydro",0.896
"Small Hydro","The Coignafearn Estate","The Coignafearn Estate",0.13
"Small Hydro","Tombuie Hydro","Tombuie Hydro",0.35
"Small Hydro","Twin Loch Hydro","Twin Loch Hydro",0.5
"Small Hydro","Victoria Falls Station","Victoria Falls Station",1.12
"Small Hydro","West Cromwell Park","West Cromwell Park",0.11
"Tidal","Eday Berth 4","Eday Berth 4",0.2
"Tidal","EMEC Berth 5","EMEC Berth 5",2
"Tidal","Floating Energy Generation Platform - ATIR","Floating Energy Generation Platform - ATIR",2
"Tidal","Hammerfest (EMEC)","Eday Berth 1",1.138
"Tidal","Magallanes (FoW - EMEC)","Magallanes (FoW - EMEC)",2
"Tidal","Ness of Quoys","Inner Sound Phase 1A (MeyGen) Ness of Quoys",5.7
"Tidal","S G E Tidal Array","S G E Tidal Array",0.5
"Tidal","The Fall of Warness Tidal Scheme, (EMEC)","Eday Birth 2",1.2
"Tidal","Tocardo EMEC Array","Tocardo EMEC Array",1.451
"Wind Offshore","Kentish Flats Ltd","Aberdeen Offshore Windfarm - Demonstration",96.8
"Wind Offshore","Kincardine Offshore Windfarm - Phase 1","Kincardine Offshore Windfarm - Phase 1",10
"Wind Offshore","Methil Wind Turbine Demonstration Project","FEPODWT (Levenmouth demonstration turbine - Fife Energy Park)",7.35
"Wind Offshore","RWE Renewables UK Ltd","Robin Rigg Offshore Wind Farm (East)",84
"Wind Offshore","RWE Renewables UK Ltd","Robin Rigg Offshore Wind Farm (West)",90
"Wind Offshore","Scira Offshore Energy Ltd","Hywind Scotland Pilot Park (Hywind 2) Demonstrator",30
"Wind Offshore","Scottish & Southern Energy plc","Beatrice Offshore windfarm",588
