"Old Ref ID"	"Ref ID"	"Record Last Updated (dd/mm/yyyy)"	"Operator (or Applicant)"	"Site Name"	"Technology Type"	"Storage Type"	"Storage Co-location REPD Ref ID"	"Installed Capacity (MWelec)"	"CHP Enabled"	"RO Banding (ROC/MWh)"	"FiT Tariff (p/kWh)"	"CfD Capacity (MW)"	"Turbine Capacity (MW)"	"No. of Turbines"	"Height of Turbines (m)"	"Mounting Type for Solar"	"Development Status"	"Development Status (short)"	"Address"	"County"	"Region"	"Country"	"Post Code"	"X-coordinate"	"Y-coordinate"	"Planning Authority"	"Planning Application Reference"	"Appeal Reference"	"Secretary of State Reference"	"Type of Secretary of State Intervention"	"Judicial Review"	"Offshore Wind Round"	"Planning Application Submitted"	"Planning Application Withdrawn"	"Planning Permission Refused"	"Appeal Lodged"	"Appeal Withdrawn"	"Appeal Refused"	"Appeal Granted"	"Planning Permission Granted"	"Secretary of State - Intervened"	"Secretary of State - Refusal"	"Secretary of State - Granted"	"Planning Permission Expired"	"Under Construction"	"Operational"	"Sites"
"A0422"	99	2013-02-06	"Boyndie Biomass"	"Boyndie Airfield Biomass"	"Biomass (dedicated)"	NA	NA	4	"No"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Abandoned"	"Abandoned"	"Boyndie, Banff, Grampian"	"Grampian"	"Scotland"	"Scotland"	"AB45 2LR"	361978	864118	"Aberdeenshire Council"	"APP/2009/2327"	NA	NA	NA	NA	NA	2009-07-16	NA	NA	NA	NA	NA	NA	2010-02-24	NA	NA	NA	NA	NA	NA	1
"A0484"	102	2016-10-24	"Peel Energy"	"Corpach Biomass Energy Plant"	"Biomass (dedicated)"	NA	NA	20	"No"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Abandoned"	"Abandoned"	"Kilmallie Hall Corpach Fort William"	"Highland"	"Scotland"	"Scotland"	"PH33 7JH"	209648	776708	"Highland Council"	"10/04344/FUL"	NA	NA	NA	NA	NA	2010-10-27	NA	NA	NA	NA	NA	NA	2010-12-09	NA	NA	NA	2013-12-09	NA	NA	1
"AA136"	107	2015-12-08	"Tesco"	"Tesco Distribution Centre (Livingston)"	"Biomass (dedicated)"	NA	NA	6.5	"No"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Abandoned"	"Abandoned"	"Carnegie Road, Deans Industrial Estate, Livingston"	"Lothian"	"Scotland"	"Scotland"	"EH54 8TB"	301071	669021	"West Lothian Council"	"0467/FUL/10"	NA	NA	NA	NA	NA	2010-06-30	NA	NA	NA	NA	NA	NA	2010-12-08	NA	NA	NA	NA	2012-04-01	NA	1
"EN00292"	140	2017-06-23	"Scottish Bio-Power"	"Rothes Bio-Plant"	"Biomass (dedicated)"	NA	NA	8.32	"Yes"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Operational"	"Operational"	"Rothes Distillery, Speyside"	"Grampian"	"Scotland"	"Scotland"	NA	327767	849116	"Moray Council"	"08/00577/FUL"	NA	NA	NA	NA	NA	2008-03-17	NA	NA	NA	NA	NA	NA	2009-01-28	NA	NA	NA	NA	2011-05-01	2013-04-16	1
"N00061B"	155	2018-04-04	"RWE"	"Markinch Biomass CHP Plant"	"Biomass (dedicated)"	NA	NA	65	"Yes"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Operational"	"Operational"	"Markinch, Fife"	"Fife"	"Scotland"	"Scotland"	NA	327988	701561	"Scottish Government (S36)"	NA	NA	NA	NA	NA	NA	2005-08-01	NA	NA	NA	NA	NA	NA	2008-07-01	NA	NA	NA	NA	2009-06-01	2014-02-18	1
"AA109"	157	2016-01-11	"Scottish Power Renewables"	"Longannet"	"Biomass (dedicated)"	NA	NA	25	"No"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Abandoned"	"Abandoned"	"West Fife"	"Fife"	"Scotland"	"Scotland"	NA	293993	686259	"Fife Council"	"07/01283/WEIA"	NA	NA	NA	NA	NA	2007-04-16	NA	NA	NA	NA	NA	NA	2008-08-22	NA	NA	NA	NA	NA	NA	1
"AA535"	171	2019-07-23	"Charlesfield First LLP & Biogas Power"	"Charlesfield Biomass CHP Plant"	"Advanced Conversion Technologies"	NA	NA	10	"Yes"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Operational"	"Operational"	"Land East Of G A White Motors, Charlesfield Industrial Estate, St Boswells"	"Borders"	"Scotland"	"Scotland"	NA	358892	629839	"Scottish Borders Council"	"09/01020/OUT"	NA	NA	NA	NA	NA	2009-08-04	NA	NA	NA	NA	NA	NA	2009-11-26	NA	NA	NA	NA	2015-05-01	2015-06-30	1
"A0127"	172	2014-12-02	"Diageo"	"Diageo Biomass Energy Project"	"Biomass (dedicated)"	NA	NA	5.5	"No"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Operational"	"Operational"	"Cameronbridge Distillery, Cameron Bridge, Leven, Fife"	"Fife"	"Scotland"	"Scotland"	"KY8 5RL"	334567	700177	"Fife Council"	"08/00744/CEIA"	NA	NA	NA	NA	NA	2008-04-11	NA	NA	NA	NA	NA	NA	2008-11-04	NA	NA	NA	NA	2009-08-01	2013-05-08	1
"A0203"	176	2014-09-03	"Forth Ports"	"Port of Dundee"	"Biomass (dedicated)"	NA	NA	120	"No"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Planning Application Withdrawn"	"Application Withdrawn"	"Port of Dundee"	"Tayside"	"Scotland"	"Scotland"	"DD1"	340600	730752	"Scottish Government (S36)"	NA	NA	NA	NA	NA	NA	2010-08-17	2014-04-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"AA931"	186	2016-10-31	"Speyside Renewable Energy Partnership"	"Speyside Biomass CHP Plant"	"Biomass (dedicated)"	NA	NA	12.5	"Yes"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Operational"	"Operational"	"Craigellachie Wood, Craigellachie, Aberlour, Grampian"	"Grampian"	"Scotland"	"Scotland"	NA	327641	845585	"Moray Council"	"12/01490/APP"	NA	NA	NA	NA	NA	2012-08-27	NA	NA	NA	NA	NA	NA	2013-03-08	NA	NA	NA	NA	2014-11-26	2016-06-24	1
"AA947"	187	2015-07-21	"Estover Energy"	"Stoneywood Paper Mill"	"Biomass (dedicated)"	NA	NA	22	"Yes"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Abandoned"	"Abandoned"	"Land at Stoneywood Paper Mill, Bucksburn, Aberdeen, Grampian"	"Grampian"	"Scotland"	"Scotland"	"AB21 9AB"	389708	811181	"Aberdeen City Council"	"121281"	NA	NA	NA	NA	NA	2012-09-12	NA	NA	NA	NA	NA	NA	2013-07-10	NA	NA	NA	NA	NA	NA	1
"AA099"	193	2014-09-24	"New Park Management"	"Georgmas CHP"	"Biomass (dedicated)"	NA	NA	4.7	"Yes"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Abandoned"	"Abandoned"	"Georgmass Junction, Georgemas, Halkirk"	"Highland"	"Scotland"	"Scotland"	NA	315251	960032	"Highland Council"	"10/02997/FUL"	NA	NA	NA	NA	NA	2010-07-07	NA	NA	NA	NA	NA	NA	2010-09-03	NA	NA	NA	2013-09-03	NA	NA	1
"N0040B"	196	2014-09-25	"E.ON  (formerly Powergen). Agent Environmental Planning and Management"	"Stevens Croft"	"Biomass (dedicated)"	NA	NA	50.4	"No"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Operational"	"Operational"	"4km North of Lockerbie adjacent to the A74m"	"Dumfries and Galloway"	"Scotland"	"Scotland"	NA	312100	585100	"Dumfries and Galloway Council"	"05P40012"	NA	NA	NA	NA	NA	2003-07-07	NA	NA	NA	NA	NA	NA	2005-04-01	NA	NA	NA	NA	2006-06-01	2007-12-15	1
"EN00466"	205	2011-09-02	NA	"Macphie of Glenbervie"	"Biomass (dedicated)"	NA	NA	1.2	"No"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Operational"	"Operational"	"Macphie Of Glenbervie Ltd, Glenbervie, Stonehaven"	"Grampian"	"Scotland"	"Scotland"	"AB39 3YG"	376500	780500	"Aberdeenshire Council"	"APP/2007/2897"	NA	NA	NA	NA	NA	2007-07-13	NA	NA	NA	NA	NA	NA	2007-09-27	NA	NA	NA	NA	NA	2008-09-01	1
"A0137"	210	2012-01-04	"Scottish Water Solutions"	"Deerdykes Composting and Organics Recycling Facility (Waste AD)"	"Anaerobic Digestion"	NA	NA	1	"Yes"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Operational"	"Operational"	"Dunswood Road, Cumbermould, Glasgow, Strathclyde"	"Strathclyde"	"Scotland"	"Scotland"	"G67 3EN"	277924	676998	"North Lanarkshire Council"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-08-01	2010-09-28	1
"A0210"	211	2012-01-04	"Shanks Group"	"Cumbernauld BioPlant  (Waste AD)"	"Anaerobic Digestion"	NA	NA	2.4	"No"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Operational"	"Operational"	"Shanks Landfill Site Meikle Drumgray Road Greengairs Airdrie Lanarkshire"	"Strathclyde"	"Scotland"	"Scotland"	NA	277924	676998	"North Lanarkshire Council"	"04/00316/AMD"	NA	NA	NA	NA	NA	2004-03-05	NA	NA	NA	NA	NA	NA	2004-12-20	NA	NA	NA	NA	2010-09-01	2011-10-05	1
"B0469"	231	2018-10-03	"Bio Capital Limited"	"Energen biogas cumbernauld"	"Anaerobic Digestion"	NA	NA	2.4	"No"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Operational"	"Operational"	"Dunnswood Road, Wardpark South Industrial Estate, Cumbernauld, Glasgow"	"Strathclyde"	"Scotland"	"Scotland"	"G67 3EN"	277889	676918	"North Lanarkshire Council"	"08/01376/FUL"	NA	NA	NA	NA	NA	2008-09-17	NA	NA	NA	NA	NA	NA	2008-11-05	NA	NA	NA	NA	NA	2011-06-22	1
"A0456"	266	2016-11-01	"Scottish and Southern Energy (SSE) / William Tracey Ltd"	"Barkip Anaerobic Digestor (Waste AD)"	"Anaerobic Digestion"	NA	NA	2.2	"Yes"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Operational"	"Operational"	"Barkip Landfill Site, Dalry"	"Strathclyde"	"Scotland"	"Scotland"	"KA24 4JJ"	229333	650530	"North Ayrshire Council"	NA	NA	NA	NA	NA	NA	2009-09-02	NA	NA	NA	NA	NA	NA	2009-10-15	NA	NA	NA	NA	2010-09-01	2012-05-11	1
"AA285"	269	2014-05-15	"Fife Council"	"Lochhead Landfill CHP"	"Anaerobic Digestion"	NA	NA	1.7	"Yes"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Operational"	"Operational"	"Dunfermline, Fife"	"Fife"	"Scotland"	"Scotland"	NA	308683	690319	"Fife Council"	"11/01206/FULL"	NA	NA	NA	NA	NA	2011-03-07	NA	NA	NA	NA	NA	NA	2011-08-18	NA	NA	NA	NA	2012-04-01	2014-03-31	1
"B0457"	286	2018-01-30	"Viridor"	"Glasgow Renewable Energy and Recycling Centre (Waste AD)"	"Anaerobic Digestion"	NA	NA	5	"No"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Operational"	"Operational"	"Polmadie Disposal Complex, 425 Polmadie Road, Glasgow"	"Strathclyde"	"Scotland"	"Scotland"	"G42 0PJ"	259509	662366	"Glasgow City Council"	"12/01631/DC"	NA	NA	NA	NA	NA	2012-08-14	NA	NA	NA	NA	NA	NA	2013-01-29	NA	NA	NA	NA	2013-11-18	2017-12-15	1
"A0173"	295	2017-02-23	"Pro-Active Energy"	"M74 Central Coalburn (Waste AD)"	"Anaerobic Digestion"	NA	NA	5	"No"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Planning Permission Expired"	"Planning Permission Expired"	"Coalburn, Lanark. Strathclyde"	"Strathclyde"	"Scotland"	"Scotland"	"ML11 0NJ"	283383	635612	"South Lanarkshire Council"	"CL/09/0272"	NA	NA	NA	NA	NA	2009-07-01	NA	NA	NA	NA	NA	NA	2009-11-05	NA	NA	NA	2012-11-05	NA	NA	1
"B0599"	298	2017-01-16	"Peel Environmental"	"North Clyde Recylcing Centre (Waste AD)"	"Anaerobic Digestion"	NA	NA	1.6	"No"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Planning Permission Expired"	"Planning Permission Expired"	"Rothesay Dock, Clydebank"	"Strathclyde"	"Scotland"	"Scotland"	"G81 1LX"	250440	669070	"West Dunbartonshire Council"	"DC12/143"	NA	NA	NA	NA	NA	2012-06-25	NA	NA	NA	NA	NA	NA	2012-12-05	NA	NA	NA	2015-12-05	NA	NA	1
"C2334"	333	2016-05-16	"Pure Malt Products Limited"	"Pure Malt Products AD"	"Anaerobic Digestion"	NA	NA	1.5	"No"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Operational"	"Operational"	"Pure Malt Products Ltd Whittingehame Drive Haddington East Lothian"	"Lothian"	"Scotland"	"Scotland"	"EH41 4BD"	351977	674000	"East Lothian Council"	"13/00845/P"	NA	NA	NA	NA	NA	2013-10-30	NA	NA	NA	NA	NA	NA	2013-12-20	NA	NA	NA	NA	2015-12-31	2016-01-01	1
"B1511"	343	2016-05-25	"GlaxoSmithKline"	"GlaxoSmithKline (Waste AD)"	"Anaerobic Digestion"	NA	NA	1	"Yes"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Operational"	"Operational"	"Shewalton Road Riverside Business Park Irvine Ayrshire KA11 5AP"	"Strathclyde"	"Scotland"	"Scotland"	NA	234362	636566	"North Ayrshire Council"	"14/00036/PP"	NA	NA	NA	NA	NA	2014-01-21	NA	NA	NA	NA	NA	NA	2014-02-21	NA	NA	NA	NA	2014-07-08	2015-03-15	1
"C3260"	359	2016-05-17	"Private Developer"	"West Roucan Farm"	"Anaerobic Digestion"	NA	NA	1.2	"No"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Operational"	"Operational"	"West Roucan Farm, Low Road, Tinwald, Dumfries, Dumfries and Galloway"	"Dumfries and Galloway"	"Scotland"	"Scotland"	NA	302227	578926	"Dumfries and Galloway Council"	"14/P/3/0383"	NA	NA	NA	NA	NA	2014-07-21	NA	NA	NA	NA	NA	NA	2014-09-23	NA	NA	NA	2017-09-23	2015-04-15	2015-12-01	1
"B0309"	371	2017-05-03	"Ancala Bioenergy (formerly Biogen/Aluana Renewable Energy)"	"Millerhill AD (Waste AD)"	"Anaerobic Digestion"	NA	NA	1.5	"Yes"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Operational"	"Operational"	"Former Millerhill Marshalling Yards Whitehill Mains Road Millerhill Dalkeith Midlothian"	"Lothian"	"Scotland"	"Scotland"	"EH11"	332400	670800	"Midlothian Council"	"13/00077/MSC"	NA	NA	NA	NA	NA	2013-01-25	NA	NA	NA	NA	NA	NA	2013-05-31	NA	NA	NA	NA	2014-02-01	2016-12-01	1
"EN00280"	387	2018-09-20	"Scottish and Southern Energy (SSE)"	"Great Glen Scheme"	"Large Hydro"	NA	NA	36	"n/a"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Operational"	"Operational"	"Loch Dundreggan"	"Highland"	"Scotland"	"Scotland"	NA	235700	815600	"Highland Council"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1956-01-01	1957-01-01	1
"N00010H"	388	2009-07-17	"Scottish and Southern Energy (SSE)"	"Glendoe Hydro Scheme"	"Large Hydro"	NA	NA	100	"n/a"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Operational"	"Operational"	"Western Monadhliath Mountains, East of Fort Augustus,"	"Highland"	"Scotland"	"Scotland"	NA	239200	809000	"Scottish Government (S36)"	"IN2003459"	NA	NA	NA	NA	NA	2003-05-01	NA	NA	NA	NA	NA	NA	2005-07-28	NA	NA	NA	NA	2006-05-01	2008-12-01	1
"N00013H"	389	2005-05-12	"RWE npower"	"Stronelarig Hydro Scheme"	"Large Hydro"	NA	NA	10.7	"n/a"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Planning Application Withdrawn"	"Application Withdrawn"	"Stronelairg
Whitebridge
Inverness"	"Highland"	"Scotland"	"Scotland"	NA	253500	806500	"Highland Council"	"IN2003700"	NA	NA	NA	NA	NA	NA	2005-05-12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"N00026H"	390	2006-05-12	"Scottish and Southern Energy (SSE)"	"Fasnakyle Hydro Extension"	"Large Hydro"	NA	NA	7.5	"n/a"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Operational"	"Operational"	"Fasnakyle Power Station
Cannich
Inverness-shire"	"Highland"	"Scotland"	"Scotland"	NA	231850	829750	"Highland Council"	"IN2003917"	NA	NA	NA	NA	NA	2003-09-04	NA	NA	NA	NA	NA	NA	2004-04-01	NA	NA	NA	NA	2006-05-01	2006-08-01	1
"N0021H"	391	2018-04-04	"Hydro Plan (on behalf of Alcan)"	"Kinlochleven Hydro Power Station"	"Large Hydro"	NA	NA	19.5	"n/a"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Operational"	"Operational"	"Kinlochleven"	"Highland"	"Scotland"	"Scotland"	NA	218729	762021	"Highland Council"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1909-01-01	1
"EN00014"	393	2006-04-04	"Scottish and Southern Energy (SSE)"	"Gaur"	"Large Hydro"	NA	NA	6.4	"n/a"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Operational"	"Operational"	"Gaur"	"Tayside"	"Scotland"	"Scotland"	NA	246415	756890	"Perth and Kinross Council"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1953-01-01	1
"EN00016"	394	2006-04-04	"Scottish and Southern Energy (SSE)"	"Pitlochry"	"Large Hydro"	NA	NA	15	"n/a"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Operational"	"Operational"	"Pitlochry"	"Tayside"	"Scotland"	"Scotland"	NA	293515	757730	"Perth and Kinross Council"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1950-01-01	1
"EN00049"	395	2006-04-03	"Scottish and Southern Energy (SSE)"	"Loch Gair"	"Large Hydro"	NA	NA	6	"n/a"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Operational"	"Operational"	"Loch Gair"	"Strathclyde"	"Scotland"	"Scotland"	NA	192865	691305	"Argyll and Bute Council"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1961-01-01	1
"EN00051"	396	2006-04-03	"Scottish and Southern Energy (SSE)"	"Sron Mor"	"Large Hydro"	NA	NA	5	"n/a"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Operational"	"Operational"	"Sron Mor"	"Highland"	"Scotland"	"Scotland"	NA	264850	798415	"Highland Council"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1957-01-01	1
"EN00052"	397	2010-03-03	"Scottish and Southern Energy (SSE)"	"Striven"	"Large Hydro"	NA	NA	8	"n/a"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Operational"	"Operational"	"Loch Striven"	"Strathclyde"	"Scotland"	"Scotland"	NA	205595	683990	"Argyll and Bute Council"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1951-01-01	1
