"Quarter","Onshore Wind","Offshore Wind","Shoreline wave / tidal","Solar photovoltaics","Hydro","Landfill gas","Sewage sludge digestion","Energy from Waste","Co-firing with fossil fuels","Animal Biomass","Anaerobic Digestion","Plant Biomass","Total"
2017 Q2,6186.06,3991.54,0.1,4578.73,863.85,1058.75,246.88,822.21,0.68,165.75,653.73,4878.25,23446.53
2017 Q3,5629.92,3959.23,2.44,3956.85,1263.84,1063,231.72,867.74,1.79,140.72,661.95,4798.44,22577.64
2017 Q4,9163.83,7803.11,1.32,1315.89,1955.73,1066.25,242.83,850.99,0,168.46,669,4339.23,27576.64
2018 Q1,9561.36,7927.02,3.14,1793.14,1564.5,1005.41,242.98,872.61,0.27,171.87,686.55,4762.76,28591.61
2018 Q2,5436.63,4727.01,3.11,4909.38,953.57,976.52,263.1,872.61,0.27,163.15,698.46,5661.79,24665.6
2018 Q3,5546.96,5018,1.14,4481,890.92,958.48,227.99,872.61,0.27,130.27,705.4,5897.39,24730.43
2018 Q4,9837.46,8853.17,1.91,1484.88,2034.29,975.38,257.96,872.61,0.27,168.65,707.15,6814.04,32007.77
2019 Q1,9829.3,8600,3.16,1962.48,1846.1,930.12,263.14,945.25,0.42,171.09,716.36,5892.73,31160.15
2019 Q2,6043.82,5936.17,3.92,4694.99,846,892.02,269.84,945.82,0.42,168.9,714.6,6074.53,26591.03
2019 Q3,6796.8,7188.31,3.98,4534.98,1390.58,891.06,254.4,946.38,0.42,145.62,731.03,6062.73,28946.29
2019 Q4,9150.09,10250.67,2.93,1387.64,1763.59,911.12,261.24,972.05,0.42,175.23,725.97,7242.52,32843.47
2020 Q1,12874.88,13362,2.93,2185.47,2382.38,892.3,268.61,1087.95,0,177.21,722.18,7179.15,41135.06
2020 Q2,6076.36,7290.1,3.13,5486.18,1057.43,867.4,278.93,1087.95,0,162.83,717.73,6774.74,29802.78
2020 Q3,6647.22,8011.6,3.45,4250.42,1181.12,854.71,253.24,1087.95,0,143.15,734.53,6073.84,29241.23
2020 Q4,9089.59,12017.39,1.77,1235.92,2132.99,881.68,266,1087.95,0,164.01,729.96,6817,34424.26
2021 Q1,9948,11200.54,1.34,1726.38,1594.73,836.79,263.14,1170.17,0,164.63,811.03,7156.2,34872.95
2021 Q2,5325.24,6190.71,1.25,4838.53,988.1,824.41,277.56,1148.65,0,165.8,816.56,6618.28,27195.09
2021 Q3,4131.99,6066.62,0.85,4173.02,654.88,820.46,248.05,1212.89,0,137.44,817.24,6032.92,24296.36
